text,location
bird seen small cut by Colony Gate,Main Chowk
stray goat limping around Railway Side,Railway Side
injured stray cat limping at Bus Stand,Market Area
stray cat seen deep wound by Park Area,Market Area
injured bird small cut at School Road,Bus Stand
dog small cut near Railway Side,Main Chowk
street dog wing injury near Main Chowk,School Road
street dog wing injury outside School Road,Bus Stand
cat wing injury near School Road,Bus Stand
stray street dog hit by car around Hospital Lane,School Road
street dog broken leg near Railway Side,Hospital Lane
stray goat limping around Main Chowk,Hospital Lane
stray cat limping outside Bus Stand,Railway Side
bird small cut outside Highway Bridge,Hospital Lane
cow weak not eating outside Railway Side,Market Area
cow seen weak not eating by Park Area,Park Area
stray cat broken leg around Bus Stand,School Road
puppy small cut outside Market Area,Colony Gate
goat sleeping normally outside Railway Side,Colony Gate
cow wing injury near Colony Gate,Main Chowk
kitten limping near Temple Road,Park Area
kitten seen wing injury by Hospital Lane,Hospital Lane
stray cow limping around School Road,Highway Bridge
street dog hit by car outside Colony Gate,Park Area
puppy limping outside Bus Stand,Main Chowk
stray dog wing injury around Main Chowk,Main Chowk
cat wing injury near Bus Stand,Railway Side
injured dog weak not eating at Colony Gate,Park Area
injured street dog unable to move at Park Area,Colony Gate
kitten seen weak not eating by Market Area,Railway Side
stray cat hit by car near Park Area,School Road
dog hit by car near School Road,School Road
puppy small cut near Bus Stand,Railway Side
cow limping near Highway Bridge,Park Area
injured cat broken leg at Highway Bridge,Market Area
stray dog weak not eating around Main Chowk,Colony Gate
cow bleeding outside Main Chowk,School Road
bird deep wound near Market Area,Main Chowk
goat sleeping normally near Colony Gate,Park Area
stray cat unable to move near Temple Road,Colony Gate
cat wing injury outside Park Area,Railway Side
injured kitten broken leg at Hospital Lane,Highway Bridge
stray stray cat limping around Railway Side,Colony Gate
stray bird unable to move around School Road,Market Area
street dog seen small cut by Railway Side,Main Chowk
stray kitten unable to move around Temple Road,Railway Side
puppy seen limping by School Road,Park Area
goat seen weak not eating by Main Chowk,Highway Bridge
stray dog sleeping normally around School Road,Market Area
injured kitten limping at Hospital Lane,School Road
street dog limping outside Temple Road,Market Area
cow seen wing injury by School Road,Highway Bridge
stray goat limping around Hospital Lane,Hospital Lane
kitten seen sleeping normally by Park Area,Park Area
bird weak not eating outside Highway Bridge,School Road
cow unable to move near Market Area,Hospital Lane
injured cow small cut at Railway Side,Highway Bridge
stray stray cat deep wound around Highway Bridge,Market Area
injured bird small cut at Park Area,Bus Stand
dog seen sleeping normally by Bus Stand,Highway Bridge
dog sleeping normally near Highway Bridge,Bus Stand
cat hit by car outside Main Chowk,Highway Bridge
street dog limping outside Park Area,Bus Stand
bird limping near Market Area,Market Area
street dog bleeding outside Main Chowk,Temple Road
injured puppy deep wound at Highway Bridge,Market Area
injured cat sleeping normally at Colony Gate,Main Chowk
stray cow sleeping normally around Colony Gate,Railway Side
bird deep wound outside Colony Gate,Highway Bridge
stray dog deep wound around Market Area,School Road
injured bird bleeding at Bus Stand,School Road
injured stray cat bleeding at Bus Stand,Temple Road
street dog deep wound outside Railway Side,Highway Bridge
cow weak not eating near Highway Bridge,Railway Side
cow weak not eating near Main Chowk,School Road
cat sleeping normally outside School Road,Bus Stand
puppy seen bleeding by Temple Road,Bus Stand
bird seen limping by Market Area,Railway Side
kitten seen weak not eating by Hospital Lane,Hospital Lane
street dog bleeding outside Main Chowk,Temple Road
goat deep wound outside Highway Bridge,Temple Road
cow deep wound near Main Chowk,Temple Road
dog seen broken leg by Railway Side,Hospital Lane
bird broken leg outside Main Chowk,Colony Gate
cat limping outside Park Area,Colony Gate
goat seen bleeding by Bus Stand,Park Area
street dog weak not eating outside Colony Gate,Hospital Lane
street dog bleeding near Park Area,Highway Bridge
cat seen wing injury by Hospital Lane,Temple Road
stray street dog wing injury around Temple Road,School Road
stray goat deep wound around Railway Side,Railway Side
cow weak not eating near Hospital Lane,Bus Stand
street dog seen limping by Market Area,Temple Road
stray cow broken leg around Highway Bridge,Hospital Lane
stray cat wing injury near Market Area,School Road
street dog bleeding near Bus Stand,Railway Side
stray cat seen weak not eating by Colony Gate,Railway Side
cow limping outside Hospital Lane,Bus Stand
cow deep wound outside Hospital Lane,Bus Stand
bird wing injury near Park Area,Hospital Lane
dog seen weak not eating by Highway Bridge,Main Chowk
stray street dog broken leg around Railway Side,Hospital Lane
goat unable to move outside Hospital Lane,Hospital Lane
street dog unable to move outside School Road,School Road
stray kitten small cut around Colony Gate,Temple Road
street dog seen wing injury by Colony Gate,Bus Stand
dog broken leg outside Hospital Lane,Main Chowk
cat seen limping by Market Area,Hospital Lane
dog broken leg outside Colony Gate,Bus Stand
street dog weak not eating near Park Area,Main Chowk
cat unable to move outside Hospital Lane,Colony Gate
street dog seen sleeping normally by Temple Road,Main Chowk
cow weak not eating near School Road,Market Area
cat bleeding outside Railway Side,Bus Stand
dog seen hit by car by Park Area,Temple Road
goat seen unable to move by Colony Gate,Bus Stand
injured stray cat wing injury at Main Chowk,Bus Stand
injured puppy bleeding at Main Chowk,Colony Gate
stray cow limping around Main Chowk,Bus Stand
injured street dog weak not eating at Railway Side,Highway Bridge
street dog weak not eating near Hospital Lane,Bus Stand
street dog unable to move near Main Chowk,Highway Bridge
bird limping outside Highway Bridge,School Road
street dog bleeding outside School Road,Colony Gate
stray goat deep wound around Highway Bridge,Highway Bridge
kitten weak not eating near Temple Road,Main Chowk
street dog weak not eating near School Road,Main Chowk
cow seen small cut by Main Chowk,Highway Bridge
injured cat hit by car at Highway Bridge,Railway Side
goat broken leg near Market Area,Highway Bridge
kitten seen broken leg by School Road,Bus Stand
stray goat sleeping normally around Hospital Lane,Highway Bridge
injured bird limping at Highway Bridge,Park Area
street dog bleeding near Bus Stand,School Road
stray cat unable to move outside Market Area,Colony Gate
bird sleeping normally near Market Area,Railway Side
bird seen deep wound by Colony Gate,Park Area
cow limping near Temple Road,Main Chowk
stray goat deep wound around School Road,Market Area
bird wing injury outside Market Area,Bus Stand
dog weak not eating near Railway Side,Market Area
cow sleeping normally near Bus Stand,Colony Gate
goat sleeping normally outside Colony Gate,Main Chowk
injured kitten bleeding at Railway Side,Main Chowk
bird hit by car outside Park Area,School Road
street dog small cut outside Park Area,Market Area
stray cat seen unable to move by Temple Road,Colony Gate
cow seen bleeding by Railway Side,Market Area
injured dog hit by car at Park Area,School Road
injured cow bleeding at Hospital Lane,School Road
stray cow small cut around Park Area,Bus Stand
stray dog weak not eating around Bus Stand,Bus Stand
stray bird broken leg around Market Area,Temple Road
injured dog unable to move at School Road,Main Chowk
dog seen broken leg by Highway Bridge,Temple Road
injured kitten sleeping normally at Market Area,Market Area
street dog unable to move outside Hospital Lane,Main Chowk
street dog sleeping normally near School Road,Main Chowk
stray cat weak not eating near Railway Side,Temple Road
street dog wing injury near Colony Gate,Market Area
street dog bleeding outside Market Area,Park Area
stray puppy bleeding around Bus Stand,Highway Bridge
stray stray cat unable to move around Colony Gate,Main Chowk
stray bird limping around Hospital Lane,Main Chowk
cat bleeding outside Hospital Lane,School Road
street dog small cut outside Colony Gate,Park Area
kitten wing injury outside Market Area,Park Area
goat weak not eating outside Park Area,Bus Stand
cat bleeding outside Market Area,Market Area
cat unable to move outside Bus Stand,Hospital Lane
stray cat sleeping normally near Park Area,Market Area
goat wing injury outside Temple Road,Highway Bridge
stray bird unable to move around Market Area,Main Chowk
stray cow broken leg around Railway Side,School Road
goat sleeping normally near Park Area,Market Area
cow seen wing injury by Hospital Lane,Main Chowk
stray stray cat hit by car around Main Chowk,Highway Bridge
puppy weak not eating near Highway Bridge,Park Area
dog seen broken leg by Bus Stand,Main Chowk
cat broken leg outside Temple Road,Market Area
stray cow wing injury around Colony Gate,Railway Side
puppy seen unable to move by Highway Bridge,Park Area
stray cat hit by car around Bus Stand,Bus Stand
stray dog bleeding around Highway Bridge,Railway Side
street dog deep wound outside Railway Side,Colony Gate
cow seen sleeping normally by Market Area,Park Area
cat weak not eating outside Main Chowk,Railway Side
stray bird hit by car around School Road,Colony Gate
stray dog hit by car around School Road,Highway Bridge
injured puppy weak not eating at Highway Bridge,Park Area
dog limping near Colony Gate,Bus Stand
injured kitten sleeping normally at School Road,Hospital Lane
stray goat bleeding around Colony Gate,Temple Road
dog limping outside Market Area,Park Area
stray kitten deep wound around Colony Gate,Colony Gate
cat seen wing injury by Temple Road,Park Area
injured street dog unable to move at Market Area,Colony Gate
cow wing injury near Main Chowk,Colony Gate
stray cat wing injury around Highway Bridge,Park Area
injured goat broken leg at Market Area,Hospital Lane
stray cat sleeping normally near School Road,Park Area
puppy seen small cut by Market Area,Bus Stand
cow seen broken leg by Main Chowk,Bus Stand
puppy limping near Railway Side,Main Chowk
stray street dog deep wound around Main Chowk,Park Area
puppy seen limping by Market Area,Railway Side
bird weak not eating outside Main Chowk,Temple Road
stray cat seen bleeding by Highway Bridge,Railway Side
dog hit by car outside Park Area,Highway Bridge
cat deep wound near Main Chowk,Hospital Lane
street dog deep wound outside Hospital Lane,Temple Road
cow unable to move outside Main Chowk,Railway Side
stray puppy hit by car around Railway Side,Market Area
cat seen sleeping normally by Bus Stand,Temple Road
injured street dog limping at Hospital Lane,Hospital Lane
stray puppy unable to move around Park Area,Highway Bridge
kitten unable to move outside Main Chowk,Temple Road
cat seen unable to move by Market Area,Hospital Lane
bird weak not eating outside Main Chowk,Bus Stand
cat seen deep wound by Bus Stand,Park Area
kitten seen broken leg by Main Chowk,Market Area
stray cat seen wing injury by Park Area,Bus Stand
stray cat wing injury around Hospital Lane,Park Area
goat weak not eating near Bus Stand,School Road
street dog seen small cut by School Road,Bus Stand
injured cat weak not eating at Market Area,Hospital Lane
stray stray cat hit by car around Park Area,Main Chowk
injured kitten broken leg at Bus Stand,Bus Stand
stray puppy limping around Temple Road,Colony Gate
cow seen limping by Main Chowk,Highway Bridge
cow sleeping normally outside School Road,Highway Bridge
cow unable to move outside Main Chowk,Railway Side
bird wing injury outside Hospital Lane,Hospital Lane
puppy small cut outside Main Chowk,Bus Stand
dog seen limping by Park Area,Hospital Lane
stray cat bleeding near Highway Bridge,Market Area
injured bird limping at Hospital Lane,Bus Stand
cat small cut outside Railway Side,Park Area
kitten hit by car near Colony Gate,Hospital Lane
cow seen wing injury by Market Area,Park Area
injured dog unable to move at Market Area,Park Area
injured puppy hit by car at Highway Bridge,Railway Side
injured street dog limping at Main Chowk,Temple Road
dog weak not eating near School Road,Bus Stand
stray stray cat wing injury around Market Area,Highway Bridge
injured bird bleeding at Temple Road,School Road
street dog bleeding outside Market Area,Railway Side
stray stray cat hit by car around Hospital Lane,Main Chowk
injured puppy weak not eating at Colony Gate,Temple Road
stray goat small cut around Main Chowk,Colony Gate
injured cat sleeping normally at Park Area,Market Area
stray stray cat sleeping normally around Hospital Lane,Hospital Lane
kitten limping near Temple Road,Colony Gate
bird seen hit by car by Park Area,Market Area
cow seen bleeding by Main Chowk,Park Area
injured dog unable to move at Hospital Lane,Park Area
injured street dog limping at Bus Stand,Bus Stand
street dog hit by car near Highway Bridge,School Road
cow hit by car near Park Area,Highway Bridge
stray kitten sleeping normally around Railway Side,Highway Bridge
cow weak not eating near Park Area,Temple Road
bird seen bleeding by Park Area,Colony Gate
street dog wing injury outside Park Area,Bus Stand
street dog unable to move outside Hospital Lane,Highway Bridge
kitten bleeding near Colony Gate,Main Chowk
injured stray cat weak not eating at Park Area,Market Area
goat weak not eating near Highway Bridge,Railway Side
stray kitten broken leg around Railway Side,Park Area
dog unable to move outside Main Chowk,Colony Gate
dog seen bleeding by Colony Gate,Park Area
stray puppy hit by car around Bus Stand,Main Chowk
dog broken leg outside Market Area,School Road
goat seen wing injury by Main Chowk,Temple Road
stray puppy limping around Park Area,Park Area
cat deep wound outside Bus Stand,Hospital Lane
kitten seen unable to move by Highway Bridge,School Road
dog broken leg near Railway Side,Hospital Lane
stray cat bleeding outside Highway Bridge,Highway Bridge
cow deep wound outside Highway Bridge,Railway Side
injured cat broken leg at Market Area,Railway Side
injured street dog bleeding at Park Area,Park Area
stray cat sleeping normally near Highway Bridge,Highway Bridge
injured puppy unable to move at Hospital Lane,School Road
cow broken leg near School Road,Railway Side
goat sleeping normally near Main Chowk,Park Area
stray cat broken leg outside Main Chowk,Market Area
bird wing injury near Railway Side,Hospital Lane
kitten deep wound outside Market Area,Bus Stand
cat seen limping by Railway Side,Hospital Lane
puppy seen sleeping normally by Main Chowk,Bus Stand
injured kitten sleeping normally at Temple Road,Market Area
stray puppy weak not eating around Bus Stand,Bus Stand
cow seen unable to move by Hospital Lane,Highway Bridge
bird small cut near Hospital Lane,Highway Bridge
injured bird deep wound at Hospital Lane,Market Area
stray puppy deep wound around Main Chowk,Bus Stand
injured goat deep wound at Temple Road,Temple Road
dog deep wound near Highway Bridge,School Road
stray kitten deep wound around Temple Road,Railway Side
stray bird weak not eating around Railway Side,School Road
bird limping outside Market Area,Temple Road
injured street dog wing injury at Railway Side,Railway Side
injured goat deep wound at Bus Stand,Park Area
goat seen wing injury by Bus Stand,Park Area
stray stray cat bleeding around Park Area,School Road
cat weak not eating outside Railway Side,School Road
injured cat hit by car at Highway Bridge,Colony Gate
stray kitten small cut around Bus Stand,Park Area
stray goat small cut around Bus Stand,Railway Side
stray street dog limping around Highway Bridge,Railway Side
cat wing injury near Hospital Lane,Railway Side
injured cow deep wound at Park Area,Temple Road
bird limping near Main Chowk,Railway Side
stray cat seen hit by car by Market Area,Colony Gate
injured bird unable to move at Colony Gate,Park Area
kitten hit by car near Main Chowk,Hospital Lane
injured goat sleeping normally at Highway Bridge,Market Area
stray cat limping outside Hospital Lane,Highway Bridge
stray cat broken leg around Market Area,Colony Gate
goat seen sleeping normally by Park Area,Bus Stand
injured stray cat wing injury at Hospital Lane,Temple Road
dog broken leg near Park Area,Railway Side
stray street dog broken leg around Main Chowk,Hospital Lane
injured goat deep wound at Park Area,Bus Stand
bird deep wound outside Park Area,Hospital Lane
stray stray cat limping around Main Chowk,Highway Bridge
dog unable to move outside Park Area,Market Area
bird hit by car outside Main Chowk,Railway Side
cow seen hit by car by Main Chowk,Railway Side
injured stray cat deep wound at Colony Gate,Bus Stand
injured dog deep wound at Market Area,School Road
street dog unable to move near Colony Gate,Bus Stand
cow wing injury outside Hospital Lane,Main Chowk
dog broken leg outside Hospital Lane,School Road
stray goat limping around Hospital Lane,Colony Gate
puppy seen limping by Hospital Lane,Park Area
stray goat weak not eating around Main Chowk,Railway Side
injured cow weak not eating at Hospital Lane,Highway Bridge
injured bird weak not eating at School Road,Railway Side
street dog seen unable to move by Hospital Lane,Highway Bridge
cat seen deep wound by Hospital Lane,Colony Gate
goat broken leg outside Highway Bridge,Temple Road
cat seen unable to move by Railway Side,Highway Bridge
cow small cut outside Hospital Lane,Highway Bridge
stray bird broken leg around Market Area,Main Chowk
stray cow small cut around Temple Road,Hospital Lane
injured cow hit by car at Market Area,Colony Gate
street dog seen bleeding by Bus Stand,Temple Road
stray puppy wing injury around Railway Side,Railway Side
injured bird unable to move at Highway Bridge,Temple Road
cow sleeping normally near Temple Road,Bus Stand
puppy hit by car outside Colony Gate,Railway Side
injured bird hit by car at Temple Road,Highway Bridge
stray cat unable to move around Highway Bridge,Railway Side
stray stray cat limping around Bus Stand,Hospital Lane
bird small cut outside Market Area,Park Area
injured street dog weak not eating at Bus Stand,Temple Road
bird seen deep wound by School Road,Bus Stand
stray kitten wing injury around Hospital Lane,Park Area
kitten bleeding near Bus Stand,Bus Stand
goat small cut outside Temple Road,Highway Bridge
cow limping outside Highway Bridge,Park Area
dog seen weak not eating by Park Area,School Road
cat limping near Highway Bridge,Bus Stand
stray cat weak not eating outside Market Area,Highway Bridge
cow seen small cut by Bus Stand,Railway Side
injured street dog deep wound at Park Area,Colony Gate
stray street dog sleeping normally around School Road,School Road
stray cat sleeping normally around Railway Side,Hospital Lane
cat seen deep wound by Market Area,Temple Road
stray stray cat small cut around Main Chowk,Hospital Lane
injured puppy unable to move at Hospital Lane,Railway Side
cow deep wound near Railway Side,Market Area
stray street dog hit by car around Railway Side,Bus Stand
stray kitten limping around Main Chowk,Temple Road
stray street dog weak not eating around Temple Road,Colony Gate
dog seen small cut by Main Chowk,Market Area
kitten unable to move near Market Area,Hospital Lane
cat limping near Temple Road,Highway Bridge
puppy broken leg outside Colony Gate,Park Area
street dog wing injury outside Colony Gate,Market Area
stray puppy unable to move around Market Area,Bus Stand
stray kitten sleeping normally around Bus Stand,School Road
dog weak not eating near Railway Side,Hospital Lane
stray cat wing injury outside School Road,School Road
goat broken leg outside Highway Bridge,School Road
dog wing injury near Main Chowk,Temple Road
injured cow bleeding at Market Area,Main Chowk
street dog deep wound near Temple Road,School Road
kitten limping near School Road,Hospital Lane
injured dog broken leg at Hospital Lane,Highway Bridge
injured goat deep wound at Main Chowk,Park Area
injured bird broken leg at Hospital Lane,School Road
bird weak not eating outside Temple Road,Hospital Lane
stray puppy wing injury around Hospital Lane,Railway Side
goat wing injury near Hospital Lane,Park Area
kitten broken leg outside Highway Bridge,Colony Gate
injured stray cat limping at School Road,School Road
puppy seen limping by Temple Road,Hospital Lane
kitten sleeping normally outside Hospital Lane,Bus Stand
cow weak not eating outside School Road,Park Area
street dog unable to move near Market Area,Hospital Lane
injured dog weak not eating at Colony Gate,Main Chowk
stray dog bleeding around School Road,Main Chowk
stray cow limping around School Road,Park Area
